SYMBOL,NAME OF COMPANY
20MICRONS,20 Microns 
21STCENMGM,21st Century Management Services 
360ONE,360 ONE WAM 
3IINFOLTD,3i Infotech 
3MINDIA,3M India 
3PLAND,3P Land Holdings 
5PAISA,5Paisa Capital 
63MOONS,63 moons technologies 
A2ZINFRA,A2Z Infra Engineering 
AAATECH,AAA Technologies 
AAKASH,Aakash Exploration Services 
AAREYDRUGS,Aarey Drugs & Pharmaceuticals 
AARON,Aaron Industries 
AARTECH,Aartech Solonics 
AARTIDRUGS,Aarti Drugs 
AARTIIND,Aarti Industries 
AARTIPHARM,Aarti Pharmalabs 
AARTISURF,Aarti Surfactants 
AARVEEDEN,Aarvee Denims & Exports 
AARVI,Aarvi Encon 
AAVAS,Aavas Financiers 
ABAN,Aban Offshore 
ABB,ABB India 
ABBOTINDIA,Abbott India 
ABCAPITAL,Aditya Birla Capital 
ABFRL,Aditya Birla Fashion and Retail 
ABMINTLLTD,ABM International 
ABSLAMC,Aditya Birla Sun Life AMC 
ACC,ACC 
ACCELYA,Accelya Solutions India 
ACCURACY,Accuracy Shipping 
ACE,Action Construction Equipment 
ACEINTEG,Ace Integrated Solutions 
ACI,Archean Chemical Industries 
ACL,Andhra Cements 
ACLGATI,Allcargo Gati 
ADANIENSOL,Adani Energy Solutions 
ADANIENT,Adani Enterprises 
ADANIGREEN,Adani Green Energy 
ADANIPORTS,Adani Ports and Special Economic Zone 
ADANIPOWER,Adani Power 
ADFFOODS,ADF Foods 
ADL,Archidply Decor 
ADORWELD,Ador Welding 
ADROITINFO,Adroit Infotech 
ADSL,Allied Digital Services 
ADVANIHOTR,Advani Hotels & Resorts (India) 
ADVENZYMES,Advanced Enzyme Technologies 
AEGISCHEM,Aegis Logistics 
AEROFLEX,Aeroflex Industries 
AETHER,Aether Industries 
AFFLE,Affle (India) 
AGARIND,Agarwal Industrial Corporation 
AGI,AGI Greenpac 
AGRITECH,Agri-Tech (India) 
AGROPHOS,Agro Phos India 
AGSTRA,AGS Transact Technologies 
AHL,Abans Holdings 
AHLADA,Ahlada Engineers 
AHLEAST,Asian Hotels (East) 
AHLUCONT,Ahluwalia Contracts (India) 
AIAENG,AIA Engineering 
AIRAN,Airan 
AIROLAM,Airo Lam 
AJANTPHARM,Ajanta Pharma 
AJMERA,Ajmera Realty & Infra India 
AJOONI,Ajooni Biotech 
AKASH,Akash Infra-Projects 
AKG,Akg Exim 
AKI,AKI India 
AKSHAR,Akshar Spintex 
AKSHARCHEM,AksharChem India 
AKSHOPTFBR,Aksh Optifibre 
AKZOINDIA,Akzo Nobel India 
ALANKIT,Alankit 
ALBERTDAVD,Albert David 
ALEMBICLTD,Alembic 
ALICON,Alicon Castalloy 
ALKALI,Alkali Metals 
ALKEM,Alkem Laboratories 
ALKYLAMINE,Alkyl Amines Chemicals 
ALLCARGO,Allcargo Logistics 
ALLSEC,Allsec Technologies 
ALMONDZ,Almondz Global Securities 
ALOKINDS,Alok Industries 
ALPA,Alpa Laboratories 
ALPHAGEO,Alphageo (India) 
ALPSINDUS,Alps Industries 
AMBER,Amber Enterprises India 
AMBICAAGAR,Ambica Agarbathies & Aroma industries 
AMBIKCO,Ambika Cotton Mills 
AMBUJACEM,Ambuja Cements 
AMDIND,AMD Industries 
AMIORG,Ami Organics 
AMJLAND,Amj Land Holdings 
AMNPLST,Amines & Plasticizers 
AMRUTANJAN,Amrutanjan Health Care 
ANANDRATHI,Anand Rathi Wealth 
ANANTRAJ,Anant Raj 
ANDHRAPAP,ANDHRA PAPER 
ANDHRSUGAR,The Andhra Sugars 
ANGELONE,Angel One 
ANIKINDS,Anik Industries 
ANKITMETAL,Ankit Metal & Power 
ANMOL,Anmol India 
ANTGRAPHIC,Antarctica 
ANUP,The Anup Engineering 
ANURAS,Anupam Rasayan India 
APARINDS,Apar Industries 
APCL,Anjani Portland Cement 
APCOTEXIND,Apcotex Industries 
APEX,Apex Frozen Foods 
APLAPOLLO,APL Apollo Tubes 
APLLTD,Alembic Pharmaceuticals 
APOLLO,Apollo Micro Systems 
APOLLOHOSP,Apollo Hospitals Enterprise 
APOLLOPIPE,Apollo Pipes 
APOLLOTYRE,Apollo Tyres 
APOLSINHOT,Apollo Sindoori Hotels 
APTECHT,Aptech 
APTUS,Aptus Value Housing Finance India 
ARCHIDPLY,Archidply Industries 
ARCHIES,Archies 
ARE&M,Amara Raja Energy & Mobility 
ARENTERP,Rajdarshan Industries 
ARIES,Aries Agro 
ARIHANTCAP,Arihant Capital Markets 
ARIHANTSUP,Arihant Superstructures 
ARMANFIN,Arman Financial Services 
AROGRANITE,Aro Granite Industries 
ARROWGREEN,Arrow Greentech 
ARSHIYA,Arshiya 
ARSSINFRA,ARSS Infrastructure Projects 
ARTEMISMED,Artemis Medicare Services 
ARTNIRMAN,Art Nirman 
ARVEE,Arvee Laboratories (India) 
ARVIND,Arvind 
ARVINDFASN,Arvind Fashions 
ARVSMART,Arvind SmartSpaces 
ASAHIINDIA,Asahi India Glass 
ASAHISONG,Asahi Songwon Colors 
ASAL,Automotive Stampings and Assemblies 
ASALCBR,Associated Alcohols & Breweries .
ASHAPURMIN,Ashapura Minechem 
ASHIANA,Ashiana Housing 
ASHIMASYN,Ashima 
ASHOKA,Ashoka Buildcon 
ASHOKAMET,Ashoka Metcast 
ASHOKLEY,Ashok Leyland 
ASIANENE,Asian Energy Services 
ASIANHOTNR,Asian Hotels (North) 
ASIANPAINT,Asian Paints 
ASIANTILES,Asian Granito India 
ASKAUTOLTD,ASK Automotive 
ASMS,Bartronics India 
ASPINWALL,Aspinwall and Company 
ASTEC,Astec LifeSciences 
ASTERDM,Aster DM Healthcare 
ASTRAL,Astral 
ASTRAMICRO,Astra Microwave Products 
ASTRAZEN,AstraZeneca Pharma India 
ASTRON,Astron Paper & Board Mill 
ATALREAL,Atal Realtech 
ATAM,Atam Valves 
ATFL,Agro Tech Foods 
ATGL,Adani Total Gas 
ATL,Allcargo Terminals 
ATLANTAA,ATLANTAA 
ATUL,Atul 
ATULAUTO,Atul Auto 
AUBANK,AU Small Finance Bank 
AURIONPRO,Aurionpro Solutions 
AUROPHARMA,Aurobindo Pharma 
AURUM,Aurum PropTech 
AUSOMENT,Ausom Enterprise 
AUTOAXLES,Automotive Axles 
AUTOIND,Autoline Industries 
AVADHSUGAR,Avadh Sugar & Energy 
AVALON,Avalon Technologies 
AVANTIFEED,Avanti Feeds 
AVG,AVG Logistics 
AVONMORE,Avonmore Capital & Management Services 
AVROIND,AVRO INDIA 
AVTNPL,AVT Natural Products 
AWHCL,Antony Waste Handling Cell 
AWL,Adani Wilmar 
AXISBANK,Axis Bank 
AXISCADES,AXISCADES Technologies 
AXITA,Axita Cotton 
AYMSYNTEX,AYM Syntex 
AZAD,Azad Engineering 
BAFNAPH,Bafna Pharmaceuticals 
BAGFILMS,B.A.G Films and Media 
BAIDFIN,Baid Finserv 
BAJAJ-AUTO,Bajaj Auto 
BAJAJCON,Bajaj Consumer Care 
BAJAJELEC,Bajaj Electricals 
BAJAJFINSV,Bajaj Finserv 
BAJAJHCARE,Bajaj Healthcare 
BAJAJHIND,Bajaj Hindusthan Sugar 
BAJAJHLDNG,Bajaj Holdings & Investment 
BAJEL,Bajel Projects 
BAJFINANCE,Bajaj Finance 
BALAJITELE,Balaji Telefilms 
BALAMINES,Balaji Amines 
BALAXI,BALAXI PHARMACEUTICALS 
BALKRISHNA,Balkrishna Paper Mills 
BALKRISIND,Balkrishna Industries 
BALMLAWRIE,Balmer Lawrie & Company 
BALPHARMA,Bal Pharma 
BALRAMCHIN,Balrampur Chini Mills 
BANARBEADS,Banaras Beads 
BANARISUG,Bannari Amman Sugars 
BANCOINDIA,Banco Products (I) 
BANDHANBNK,Bandhan Bank 
BANG,Bang Overseas 
BANKA,Banka BioLoo 
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
BANSWRAS,Banswara Syntex 
BARBEQUE,Barbeque Nation Hospitality 
BASF,BASF India 
BASML,Bannari Amman Spinning Mills 
BATAINDIA,Bata India 
BAYERCROP,Bayer Cropscience 
BBL,Bharat Bijlee 
BBOX,Black Box 
BBTC,Bombay Burmah Trading Corporation 
BBTCL,B&B Triplewall Containers 
BCG,Brightcom Group 
BCLIND,Bcl Industries 
BCONCEPTS,Brand Concepts 
BDL,Bharat Dynamics 
BEARDSELL,Beardsell 
BECTORFOOD,Mrs. Bectors Food Specialities 
BEDMUTHA,Bedmutha Industries 
BEL,Bharat Electronics 
BEML,BEML 
BEPL,Bhansali Engineering Polymers 
BERGEPAINT,Berger Paints (I) 
BFINVEST,BF Investment 
BFUTILITIE,BF Utilities 
BGRENERGY,BGR Energy Systems 
BHAGCHEM,Bhagiradha Chemicals & Industries 
BHAGERIA,Bhageria Industries 
BHAGYANGR,Bhagyanagar India 
BHANDARI,Bhandari Hosiery Exports 
BHARATFORG,Bharat Forge 
BHARATGEAR,Bharat Gears 
BHARATRAS,Bharat Rasayan 
BHARATWIRE,Bharat Wire Ropes 
BHARTIARTL,Bharti Airtel 
BHEL,Bharat Heavy Electricals 
BIGBLOC,Bigbloc Construction 
BIKAJI,Bikaji Foods International 
BIL,Bhartiya International 
BINANIIND,Binani Industries 
BIOCON,Biocon 
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals 
BIRLACABLE,Birla Cable 
BIRLACORPN,Birla Corporation 
BIRLAMONEY,Aditya Birla Money 
BKMINDST,Bkm Industries 
BLAL,BEML Land Assets 
BLBLIMITED,BLB 
BLISSGVS,Bliss GVS Pharma 
BLKASHYAP,B. L. Kashyap and Sons 
BLS,BLS International Services 
BLSE,BLS E-Services 
BLUECHIP,Blue Chip India 
BLUEDART,Blue Dart Express 
BLUEJET,Blue Jet Healthcare 
BLUESTARCO,Blue Star 
BODALCHEM,Bodal Chemicals 
BOHRAIND,Bohra Industries 
BOMDYEING,Bombay Dyeing & Mfg Company 
BOROLTD,Borosil 
BORORENEW,BOROSIL RENEWABLES 
BOSCHLTD,Bosch 
BPCL,Bharat Petroleum Corporation 
BPL,BPL 
BRIGADE,Brigade Enterprises 
BRITANNIA,Britannia Industries 
BRNL,Bharat Road Network 
BROOKS,Brooks Laboratories 
BSE,BSE 
BSHSL,Bombay Super Hybrid Seeds 
BSL,BSL 
BSOFT,BIRLASOFT 
BTML,Bodhi Tree Multimedia 
BURNPUR,Burnpur Cement 
BUTTERFLY,Butterfly Gandhimathi Appliances 
BVCL,Barak Valley Cements 
BYKE,The Byke Hospitality 
CALSOFT,California Software Company 
CAMLINFINE,Camlin Fine Sciences 
CAMPUS,Campus Activewear 
CAMS,Computer Age Management Services 
CANBK,Canara Bank
CANFINHOME,Can Fin Homes 
CANTABIL,Cantabil Retail India 
CAPACITE,Capacit'e Infraprojects 
CAPITALSFB,Capital Small Finance Bank 
CAPLIPOINT,Caplin Point Laboratories 
CAPTRUST,Capital Trust 
CARBORUNIV,Carborundum Universal 
CAREERP,Career Point 
CARERATING,CARE Ratings 
CARTRADE,Cartrade Tech 
CARYSIL,CARYSIL 
CASTROLIND,Castrol India 
CCHHL,Country Club Hospitality & Holidays 
CCL,CCL Products (India) 
CDSL,Central Depository Services (India) 
CEATLTD,CEAT 
CELEBRITY,Celebrity Fashions 
CELLO,Cello World 
CENTENKA,Century Enka 
CENTEXT,Century Extrusions 
CENTRALBK,Central Bank of India
CENTRUM,Centrum Capital 
CENTUM,Centum Electronics 
CENTURYPLY,Century Plyboards (India) 
CENTURYTEX,Century Textiles & Industries 
CERA,Cera Sanitaryware 
CEREBRAINT,Cerebra Integrated Technologies 
CESC,CESC 
CGCL,Capri Global Capital 
CGPOWER,CG Power and Industrial Solutions 
CHALET,Chalet Hotels 
CHAMBLFERT,Chambal Fertilizers & Chemicals 
CHEMBOND,Chembond Chemicals 
CHEMCON,Chemcon Speciality Chemicals 
CHEMFAB,Chemfab Alkalis 
CHEMPLASTS,Chemplast Sanmar 
CHENNPETRO,Chennai Petroleum Corporation 
CHEVIOT,Cheviot Company 
CHOICEIN,Choice International 
CHOLAFIN,Cholamandalam Investment and Finance Company 
CHOLAHLDNG,Cholamandalam Financial Holdings 
CIEINDIA,CIE Automotive India 
CIGNITITEC,Cigniti Technologies 
CINELINE,Cineline India 
CINEVISTA,Cinevista 
CIPLA,Cipla 
CLEAN,Clean Science and Technology 
CLEDUCATE,CL Educate 
CLSEL,Chaman Lal Setia Exports 
CMSINFO,CMS Info Systems 
COALINDIA,Coal India 
COASTCORP,Coastal Corporation 
COCHINSHIP,Cochin Shipyard 
COFFEEDAY,Coffee Day Enterprises 
COFORGE,Coforge 
COLPAL,Colgate Palmolive (India) 
COMPINFO,Compuage Infocom 
COMPUSOFT,Compucom Software 
COMSYN,Commercial Syn Bags 
CONCOR,Container Corporation of India 
CONCORDBIO,Concord Biotech 
CONFIPET,Confidence Petroleum India 
CONSOFINVT,Consolidated Finvest & Holdings 
CONTROLPR,Control Print 
CORALFINAC,Coral India Finance & Housing 
CORDSCABLE,Cords Cable Industries 
COROMANDEL,Coromandel International 
COSMOFIRST,COSMO FIRST 
COUNCODOS,Country Condo's 
CRAFTSMAN,Craftsman Automation 
CREATIVE,Creative Newtech 
CREATIVEYE,Creative Eye 
CREDITACC,CREDITACCESS GRAMEEN 
CREST,Crest Ventures 
CRISIL,CRISIL 
CROMPTON,Crompton Greaves Consumer Electricals 
CROWN,Crown Lifters 
CSBBANK,CSB Bank 
CSLFINANCE,CSL Finance 
CTE,Cambridge Technology Enterprises 
CUB,City Union Bank 
CUBEXTUB,Cubex Tubings 
CUMMINSIND,Cummins India 
CUPID,Cupid 
CYBERMEDIA,Cyber Media (India) 
CYBERTECH,Cybertech Systems And Software 
CYIENT,Cyient 
CYIENTDLM,Cyient DLM 
DABUR,Dabur India 
DALBHARAT,Dalmia Bharat 
DALMIASUG,Dalmia Bharat Sugar and Industries 
DAMODARIND,Damodar Industries 
DANGEE,Dangee Dums 
DATAMATICS,Datamatics Global Services 
DATAPATTNS,Data Patterns (India) 
DAVANGERE,Davangere Sugar Company 
DBCORP,D.B.Corp 
DBL,Dilip Buildcon 
DBOL,Dhampur Bio Organics 
DBREALTY,D B Realty 
DBSTOCKBRO,DB (International) Stock Brokers 
DCAL,Dishman Carbogen Amcis 
DCBBANK,DCB Bank 
DCI,Dc Infotech And Communication 
DCM,DCM  
DCMFINSERV,DCM Financial Services 
DCMNVL,DCM Nouvelle 
DCMSHRIRAM,DCM Shriram 
DCMSRIND,DCM Shriram Industries 
DCW,DCW 
DCXINDIA,DCX Systems 
DECCANCE,Deccan Cements 
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation 
DEEPAKNTR,Deepak Nitrite 
DEEPENR,DEEP ENERGY RESOURCES 
DEEPINDS,Deep Industries 
DELHIVERY,Delhivery 
DELPHIFX,DELPHI WORLD MONEY 
DELTACORP,Delta Corp 
DELTAMAGNT,Delta Manufacturing 
DEN,Den Networks 
DENORA,De Nora India 
DEVIT,Dev Information Technology 
DEVYANI,Devyani International 
DGCONTENT,Digicontent 
DHAMPURSUG,Dhampur Sugar Mills 
DHANBANK,Dhanlaxmi Bank 
DHANI,Dhani Services 
DHANUKA,Dhanuka Agritech 
DHARMAJ,Dharmaj Crop Guard 
DHRUV,Dhruv Consultancy Services 
DHUNINV,Dhunseri Investments 
DIACABS,Diamond Power Infrastructure 
DIAMINESQ,Diamines & Chemicals 
DIAMONDYD,Prataap Snacks 
DICIND,DIC India 
DIGIDRIVE,Digidrive Distributors 
DIGISPICE,DiGiSPICE Technologies 
DIGJAMLMTD,Digjam 
DIL,Debock Industries 
DISHTV,Dish TV India 
DIVGIITTS,Divgi Torqtransfer Systems 
DIVISLAB,Divi's Laboratories 
DIXON,Dixon Technologies (India) 
DJML,DJ Mediaprint & Logistics 
DLF,DLF 
DLINKINDIA,D-Link (India) 
DMART,Avenue Supermarts 
DMCC,DMCC SPECIALITY CHEMICALS 
DNAMEDIA,Diligent Media Corporation 
DODLA,Dodla Dairy 
DOLATALGO,Dolat Algotech 
DOLLAR,Dollar Industries 
DOLPHIN,Dolphin Offshore Enterprises (India) 
DOMS,DOMS Industries 
DONEAR,Donear Industries 
DPABHUSHAN,D. P. Abhushan 
DPSCLTD,DPSC 
DPWIRES,D P Wires 
DRCSYSTEMS,DRC Systems India 
DREAMFOLKS,Dreamfolks Services 
DREDGECORP,Dredging Corporation of India 
DRREDDY,Dr. Reddy's Laboratories 
DSSL,Dynacons Systems & Solutions 
DTIL,Dhunseri Tea & Industries 
DUCON,Ducon Infratechnologies 
DVL,Dhunseri Ventures 
DWARKESH,Dwarikesh Sugar Industries 
DYCL,Dynamic Cables 
DYNAMATECH,Dynamatic Technologies 
DYNPRO,Dynemic Products 
E2E,E2E Networks 
EASEMYTRIP,Easy Trip Planners 
ECLERX,eClerx Services 
EDELWEISS,Edelweiss Financial Services 
EDUCOMP,Educomp Solutions 
EICHERMOT,Eicher Motors 
EIDPARRY,EID Parry India 
EIFFL,Euro India Fresh Foods 
EIHAHOTELS,EIH Associated Hotels 
EIHOTEL,EIH 
EIMCOELECO,Eimco Elecon (India) 
EKC,Everest Kanto Cylinder 
ELDEHSG,Eldeco Housing And Industries 
ELECON,Elecon Engineering Company 
ELECTCAST,Electrosteel Castings 
ELECTHERM,Electrotherm (India) 
ELGIEQUIP,Elgi Equipments 
ELGIRUBCO,Elgi Rubber Company 
ELIN,Elin Electronics 
EMAMILTD,Emami 
EMAMIPAP,Emami Paper Mills 
EMAMIREAL,Emami Realty 
EMIL,Electronics Mart India 
EMKAY,Emkay Global Financial Services 
EMMBI,Emmbi Industries 
EMSLIMITED,EMS 
EMUDHRA,eMudhra 
ENDURANCE,Endurance Technologies 
ENERGYDEV,Energy Development Company 
ENGINERSIN,Engineers India 
ENIL,Entertainment Network (India) 
ENTERO,Entero Healthcare Solutions 
EPACK,EPACK Durable 
EPIGRAL,Epigral 
EPL,EPL 
EQUIPPP,Equippp Social Impact Technologies 
EQUITASBNK,Equitas Small Finance Bank 
ERIS,Eris Lifesciences 
EROSMEDIA,Eros International Media 
ESABINDIA,Esab India 
ESAFSFB,ESAF Small Finance Bank 
ESCORTS,Escorts Kubota 
ESSARSHPNG,Essar Shipping 
ESSENTIA,Integra Essentia 
ESTER,Ester Industries 
ETHOSLTD,Ethos 
EUROTEXIND,Eurotex Industries and Exports 
EVEREADY,Eveready Industries India 
EVERESTIND,Everest Industries 
EXCEL,Excel Realty N Infra 
EXCELINDUS,Excel Industries 
EXICOM,Exicom Tele-Systems 
EXIDEIND,Exide Industries 
EXPLEOSOL,Expleo Solutions 
EXXARO,Exxaro Tiles 
FACT,Fertilizers and Chemicals Travancore 
FAIRCHEMOR,Fairchem Organics 
FAZE3Q,Faze Three 
FCL,Fineotex Chemical 
FCONSUMER,Future Consumer 
FCSSOFT,FCS Software Solutions 
FDC,FDC 
FEDERALBNK,The Federal Bank  
FEDFINA,Fedbank Financial Services 
FEL,Future Enterprises 
FELDVR,Future Enterprises 
FIBERWEB,Fiberweb (India) 
FIEMIND,Fiem Industries 
FILATEX,Filatex India 
FINCABLES,Finolex Cables 
FINEORG,Fine Organic Industries 
FINOPB,Fino Payments Bank 
FINPIPE,Finolex Industries 
FIVESTAR,Five-Star Business Finance 
FLAIR,Flair Writing Industries 
FLEXITUFF,Flexituff Ventures International 
FLFL,Future Lifestyle Fashions 
FLUOROCHEM,Gujarat Fluorochemicals 
FMGOETZE,Federal-Mogul Goetze (India) .
FMNL,Future Market Networks 
FOCUS,Focus Lighting and Fixtures 
FOODSIN,Foods & Inns 
FORCEMOT,FORCE MOTORS 
FORTIS,Fortis Healthcare 
FOSECOIND,Foseco India 
FRETAIL,Future Retail 
FSC,Future Supply Chain Solutions 
FSL,Firstsource Solutions 
FUSION,Fusion Micro Finance 
GABRIEL,Gabriel India 
GAEL,Gujarat Ambuja Exports 
GAIL,GAIL (India) 
GALAXYSURF,Galaxy Surfactants 
GALLANTT,Gallantt Ispat 
GANDHAR,Gandhar Oil Refinery (India) 
GANDHITUBE,Gandhi Special Tubes 
GANECOS,Ganesha Ecosphere 
GANESHBE,Ganesh Benzoplast 
GANESHHOUC,Ganesh Housing Corporation 
GANGAFORGE,Ganga Forging 
GANGESSECU,Ganges Securities 
GARFIBRES,Garware Technical Fibres 
GATECH,GACM Technologies 
GATECHDVR,GACM Technologies 
GATEWAY,Gateway Distriparks 
GEECEE,GeeCee Ventures 
GEEKAYWIRE,Geekay Wires 
GENCON,Generic Engineering Construction and Projects 
GENESYS,Genesys International Corporation 
GENSOL,Gensol Engineering 
GENUSPAPER,Genus Paper & Boards 
GENUSPOWER,Genus Power Infrastructures 
GEOJITFSL,Geojit Financial Services 
GEPIL,GE Power India 
GESHIP,The Great Eastern Shipping Company 
GET&D,GE T&D India 
GFLLIMITED,GFL 
GHCL,GHCL 
GHCLTEXTIL,GHCL Textiles 
GICHSGFIN,GIC Housing Finance 
GICRE,General Insurance Corporation of India
GILLANDERS,Gillanders Arbuthnot & Company 
GILLETTE,Gillette India 
GINNIFILA,Ginni Filaments 
GIPCL,Gujarat Industries Power Company 
GKWLIMITED,GKW 
GLAND,Gland Pharma 
GLAXO,GlaxoSmithKline Pharmaceuticals 
GLENMARK,Glenmark Pharmaceuticals 
GLFL,Gujarat Lease Financing 
GLOBAL,Global Education 
GLOBALVECT,Global Vectra Helicorp 
GLOBE,Globe Textiles (India) 
GLOBE-RE,Globe Textiles -RE
GLOBUSSPR,Globus Spirits 
GLS,Glenmark Life Sciences 
GMBREW,GM Breweries 
GMDCLTD,Gujarat Mineral Development Corporation 
GMMPFAUDLR,GMM Pfaudler 
GMRINFRA,GMR Airports Infrastructure 
GMRP&UI,GMR Power and Urban Infra 
GNA,GNA Axles 
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals 
GOACARBON,Goa Carbon 
GOCLCORP,GOCL Corporation 
GOCOLORS,Go Fashion (India) 
GODFRYPHLP,Godfrey Phillips India 
GODHA,Godha Cabcon & Insulation 
GODREJAGRO,Godrej Agrovet 
GODREJCP,Godrej Consumer Products 
GODREJIND,Godrej Industries 
GODREJPROP,Godrej Properties 
GOENKA,Goenka Diamond and Jewels 
GOKEX,Gokaldas Exports 
GOKUL,Gokul Refoils and Solvent 
GOKULAGRO,Gokul Agro Resources 
GOLDENTOBC,Golden Tobacco 
GOLDIAM,Goldiam International 
GOLDTECH,AION-TECH SOLUTIONS 
GOODLUCK,Goodluck India 
GOYALALUM,Goyal Aluminiums 
GPIL,Godawari Power And Ispat 
GPPL,Gujarat Pipavav Port 
GPTHEALTH,GPT Healthcare 
GPTINFRA,GPT Infraprojects 
GRANULES,Granules India 
GRAPHITE,Graphite India 
GRASIM,Grasim Industries 
GRAVITA,Gravita India 
GREAVESCOT,Greaves Cotton 
GREENLAM,Greenlam Industries 
GREENPANEL,Greenpanel Industries 
GREENPLY,Greenply Industries 
GREENPOWER,Orient Green Power Company 
GRINDWELL,Grindwell Norton 
GRINFRA,G R Infraprojects 
GRMOVER,GRM Overseas 
GROBTEA,The Grob Tea Company 
GRPLTD,GRP 
GRSE,Garden Reach Shipbuilders & Engineers 
GRWRHITECH,Garware Hi-Tech Films 
GSFC,Gujarat State Fertilizers & Chemicals 
GSLSU,Global Surfaces 
GSPL,Gujarat State Petronet 
GSS,GSS Infotech 
GTECJAINX,G-TEC JAINX EDUCATION 
GTL,GTL 
GTLINFRA,GTL Infrastructure 
