SYMBOL,NAME OF COMPANY
GTPL,GTPL Hathway 
GUFICBIO,Gufic Biosciences 
GUJALKALI,Gujarat Alkalies and Chemicals 
GUJAPOLLO,Gujarat Apollo Industries 
GUJGASLTD,Gujarat Gas 
GUJRAFFIA,Gujarat Raffia Industries 
GULFOILLUB,Gulf Oil Lubricants India 
GULFPETRO,GP Petroleums 
GULPOLY,Gulshan Polyols 
GVKPIL,GVK Power & Infrastructure 
GVPTECH,GVP Infotech 
HAL,Hindustan Aeronautics 
HAPPSTMNDS,Happiest Minds Technologies 
HAPPYFORGE,Happy Forgings 
HARDWYN,Hardwyn India 
HARIOMPIPE,Hariom Pipe Industries 
HARRMALAYA,Harrisons  Malayalam 
HARSHA,Harsha Engineers International 
HATHWAY,Hathway Cable & Datacom 
HATSUN,Hatsun Agro Product 
HAVELLS,Havells India 
HAVISHA,Sri Havisha Hospitality and Infrastructure 
HBLPOWER,HBL Power Systems 
HBSL,HB Stockholdings 
HCC,Hindustan Construction Company 
HCG,Healthcare Global Enterprises 
HCL-INSYS,HCL Infosystems 
HCLTECH,HCL Technologies 
HDFCAMC,HDFC Asset Management Company 
HDFCBANK,HDFC Bank 
HDFCLIFE,HDFC Life Insurance Company 
HEADSUP,Heads UP Ventures 
HECPROJECT,HEC Infra Projects 
HEG,HEG 
HEIDELBERG,HeidelbergCement India 
HEMIPROP,Hemisphere Properties India 
HERANBA,Heranba Industries 
HERCULES,Hercules Hoists 
HERITGFOOD,Heritage Foods 
HEROMOTOCO,Hero MotoCorp 
HESTERBIO,Hester Biosciences 
HEUBACHIND,Heubach Colorants India 
HEXATRADEX,Hexa Tradex 
HFCL,HFCL 
HGINFRA,H.G. Infra Engineering 
HGS,Hinduja Global Solutions 
HIKAL,Hikal 
HIL,HIL 
HILTON,Hilton Metal Forging 
HIMATSEIDE,Himatsingka Seide 
HINDALCO,Hindalco Industries 
HINDCOMPOS,Hindustan Composites 
HINDCON,Hindcon Chemicals 
HINDCOPPER,Hindustan Copper 
HINDMOTORS,Hindustan Motors 
HINDOILEXP,Hindustan Oil Exploration Company 
HINDPETRO,Hindustan Petroleum Corporation 
HINDUNILVR,Hindustan Unilever 
HINDWAREAP,Hindware Home Innovation 
HINDZINC,Hindustan Zinc 
HIRECT,Hind Rectifiers 
HISARMETAL,Hisar Metal Industries 
HITECH,Hi-Tech Pipes 
HITECHCORP,Hitech Corporation 
HITECHGEAR,The Hi-Tech Gears 
HLEGLAS,HLE Glascoat 
HLVLTD,HLV 
HMAAGRO,HMA Agro Industries 
HMT,HMT 
HMVL,Hindustan Media Ventures 
HNDFDS,Hindustan Foods 
HOMEFIRST,Home First Finance Company India 
HONASA,Honasa Consumer 
HONAUT,Honeywell Automation India 
HONDAPOWER,Honda India Power Products 
HOVS,HOV Services 
HPAL,HP Adhesives 
HPIL,Hindprakash Industries 
HPL,HPL Electric & Power 
HSCL,Himadri Speciality Chemical 
HTMEDIA,HT Media 
HUBTOWN,Hubtown 
HUDCO,Housing & Urban Development Corporation 
HUHTAMAKI,Huhtamaki India 
HYBRIDFIN,Hybrid Financial Services 
IBREALEST,Indiabulls Real Estate 
IBULHSGFIN,Indiabulls Housing Finance 
ICDSLTD,ICDS 
ICEMAKE,Ice Make Refrigeration 
ICICIBANK,ICICI Bank 
ICICIGI,ICICI Lombard General Insurance Company 
ICICIPRULI,ICICI Prudential Life Insurance Company 
ICIL,Indo Count Industries 
ICRA,ICRA 
IDBI,IDBI Bank 
IDEA,Vodafone Idea 
IDEAFORGE,Ideaforge Technology 
IDFC,IDFC 
IDFCFIRSTB,IDFC First Bank 
IEL,Indiabulls Enterprises 
IEX,Indian Energy Exchange 
IFBAGRO,IFB Agro Industries 
IFBIND,IFB Industries 
IFCI,IFCI 
IFGLEXPOR,IFGL Refractories 
IGARASHI,Igarashi Motors India 
IGL,Indraprastha Gas 
IGPL,IG Petrochemicals 
IIFL,IIFL Finance 
IIFLSEC,IIFL Securities 
IITL,Industrial Investment Trust 
IKIO,IKIO Lighting 
IL&FSENGG,IL&FS Engineering and Construction Company 
IL&FSTRANS,IL&FS Transportation Networks 
IMAGICAA,Imagicaaworld Entertainment 
IMFA,Indian Metals & Ferro Alloys 
IMPAL,India Motor Parts and Accessories 
IMPEXFERRO,Impex Ferro Tech 
INCREDIBLE,INCREDIBLE INDUSTRIES 
INDBANK,Indbank Merchant Banking Services 
INDHOTEL,The Indian Hotels Company 
INDIACEM,The India Cements 
INDIAGLYCO,India Glycols 
INDIAMART,Indiamart Intermesh 
INDIANB,Indian Bank
INDIANCARD,Indian Card Clothing Company 
INDIANHUME,Indian Hume Pipe Company 
INDIASHLTR,India Shelter Finance Corporation 
INDIGO,InterGlobe Aviation 
INDIGOPNTS,Indigo Paints 
INDNIPPON,India Nippon Electricals 
INDOAMIN,Indo Amines 
INDOBORAX,Indo Borax & Chemicals 
INDOCO,Indoco Remedies 
INDORAMA,Indo Rama Synthetics (India) 
INDOSTAR,IndoStar Capital Finance 
INDOTECH,Indo Tech Transformers 
INDOTHAI,Indo Thai Securities 
INDOWIND,Indowind Energy 
INDRAMEDCO,Indraprastha Medical Corporation 
INDSWFTLAB,Ind-Swift Laboratories 
INDSWFTLTD,Ind-Swift 
INDTERRAIN,Indian Terrain Fashions 
INDUSINDBK,IndusInd Bank 
INDUSTOWER,Indus Towers 
INFIBEAM,Infibeam Avenues 
INFOBEAN,InfoBeans Technologies 
INFOMEDIA,Infomedia Press 
INFY,Infosys 
INGERRAND,Ingersoll Rand (India) 
INNOVACAP,Innova Captab 
INOXGREEN,Inox Green Energy Services 
INOXINDIA,INOX India 
INOXWIND,Inox Wind 
INSECTICID,Insecticides (India) 
INTELLECT,Intellect Design Arena 
INTENTECH,Intense Technologies 
INTLCONV,International Conveyors 
INVENTURE,Inventure Growth & Securities 
IOB,Indian Overseas Bank
IOC,Indian Oil Corporation 
IOLCP,IOL Chemicals and Pharmaceuticals 
IONEXCHANG,ION Exchange (India) 
IPCALAB,IPCA Laboratories 
IPL,India Pesticides 
IRB,IRB Infrastructure Developers 
IRCON,Ircon International 
IRCTC,Indian Railway Catering And Tourism Corporation 
IREDA,Indian Renewable Energy Development Agency 
IRFC,Indian Railway Finance Corporation 
IRIS,Iris Business Services 
IRISDOREME,Iris Clothings 
IRMENERGY,IRM Energy 
ISEC,ICICI Securities 
ISFT,Intrasoft Technologies 
ISGEC,Isgec Heavy Engineering 
ISMTLTD,ISMT 
ITC,ITC 
ITDC,India Tourism Development Corporation 
ITDCEM,ITD Cementation India 
ITI,ITI 
IVC,IL&FS Investment Managers 
IVP,IVP 
IWEL,Inox Wind Energy 
IZMO,IZMO 
J&KBANK,The Jammu & Kashmir Bank 
JAGRAN,Jagran Prakashan 
JAGSNPHARM,Jagsonpal Pharmaceuticals 
JAIBALAJI,Jai Balaji Industries 
JAICORPLTD,Jai Corp 
JAIPURKURT,Nandani Creation 
JAMNAAUTO,Jamna Auto Industries 
JASH,Jash Engineering 
JAYAGROGN,Jayant Agro Organics 
JAYBARMARU,Jay Bharat Maruti 
JAYNECOIND,Jayaswal Neco Industries 
JAYSREETEA,Jayshree Tea & Industries 
JBCHEPHARM,JB Chemicals & Pharmaceuticals 
JBMA,JBM Auto 
JCHAC,Johnson Controls - Hitachi Air Conditioning India 
JETAIRWAYS,Jet Airways (India) 
JETFREIGHT,Jet Freight Logistics 
JHS,JHS Svendgaard Laboratories 
JINDALPHOT,Jindal Photo 
JINDALPOLY,Jindal Poly Films 
JINDALSAW,Jindal Saw 
JINDALSTEL,Jindal Steel & Power 
JINDRILL,Jindal Drilling And Industries 
JINDWORLD,Jindal Worldwide 
JIOFIN,Jio Financial Services 
JISLDVREQS,Jain Irrigation Systems 
JISLJALEQS,Jain Irrigation Systems 
JITFINFRA,JITF Infralogistics 
JKCEMENT,JK Cement 
JKIL,J.Kumar Infraprojects 
JKLAKSHMI,JK Lakshmi Cement 
JKPAPER,JK Paper 
JKTYRE,JK Tyre & Industries 
JLHL,Jupiter Life Line Hospitals 
JMA,Jullundur Motor Agency (Delhi) 
JMFINANCIL,JM Financial 
JOCIL,Jocil 
JPASSOCIAT,Jaiprakash Associates 
JPOLYINVST,Jindal Poly Investment and Finance Company 
JPPOWER,Jaiprakash Power Ventures 
JSFB,Jana Small Finance Bank 
JSL,Jindal Stainless 
JSWENERGY,JSW Energy 
JSWHL,JSW Holdings 
JSWINFRA,JSW Infrastructure 
JSWSTEEL,JSW Steel 
JTEKTINDIA,Jtekt India 
JTLIND,JTL INDUSTRIES 
JUBLFOOD,Jubilant Foodworks 
JUBLINDS,Jubilant Industries 
JUBLINGREA,Jubilant Ingrevia 
JUBLPHARMA,Jubilant Pharmova 
JUNIPER,Juniper Hotels 
JUSTDIAL,Just Dial 
JWL,Jupiter Wagons 
JYOTHYLAB,Jyothy Labs 
JYOTICNC,Jyoti CNC Automation 
JYOTISTRUC,Jyoti Structures 
KABRAEXTRU,Kabra Extrusion Technik 
KAJARIACER,Kajaria Ceramics 
KAKATCEM,Kakatiya Cement Sugar & Industries 
KALAMANDIR,Sai Silks (Kalamandir) 
KALYANI,Kalyani Commercials 
KALYANIFRG,Kalyani Forge 
KALYANKJIL,Kalyan Jewellers India 
KAMATHOTEL,Kamat Hotels (I) 
KAMDHENU,Kamdhenu 
KAMOPAINTS,Kamdhenu Ventures 
KANANIIND,Kanani Industries 
KANORICHEM,Kanoria Chemicals & Industries 
KANPRPLA,Kanpur Plastipack 
KANSAINER,Kansai Nerolac Paints 
KAPSTON,Kapston Services 
KARMAENG,Karma Energy 
KARURVYSYA,Karur Vysya Bank 
KAUSHALYA,Kaushalya Infrastructure Development Corporation 
KAVVERITEL,Kavveri Telecom Products 
KAYA,Kaya 
KAYNES,Kaynes Technology India 
KBCGLOBAL,KBC Global 
KCP,KCP 
KCPSUGIND,KCP Sugar and Industries Corporation 
KDDL,KDDL 
KEC,KEC International 
KECL,Kirloskar Electric Company 
KEEPLEARN,DSJ Keep Learning 
KEI,KEI Industries 
KELLTONTEC,Kellton Tech Solutions 
KERNEX,Kernex Microsystems (India) 
KESORAMIND,Kesoram Industries 
KEYFINSERV,Keynote Financial Services 
KFINTECH,Kfin Technologies 
KHADIM,Khadim India 
KHAICHEM,Khaitan Chemicals & Fertilizers 
KHAITANLTD,Khaitan (India) 
KHANDSE,Khandwala Securities 
KICL,Kalyani Investment Company 
KILITCH,Kilitch Drugs (India) 
KIMS,Krishna Institute of Medical Sciences 
KINGFA,Kingfa Science & Technology (India) 
KIOCL,KIOCL 
KIRIINDUS,Kiri Industries 
KIRLOSBROS,Kirloskar Brothers 
KIRLOSENG,Kirloskar Oil Engines 
KIRLOSIND,Kirloskar Industries 
KIRLPNU,Kirloskar Pneumatic Company 
KITEX,Kitex Garments 
KKCL,Kewal Kiran Clothing 
KMSUGAR,K.M.Sugar Mills 
KNRCON,KNR Constructions 
KOHINOOR,Kohinoor Foods 
KOKUYOCMLN,Kokuyo Camlin 
KOLTEPATIL,Kolte - Patil Developers 
KOPRAN,Kopran 
KOTAKBANK,Kotak Mahindra Bank 
KOTARISUG,Kothari Sugars And Chemicals 
KOTHARIPET,Kothari Petrochemicals 
KOTHARIPRO,Kothari Products 
KPIGREEN,KPI Green Energy 
KPIL,Kalpataru Projects International 
KPITTECH,KPIT Technologies 
KPRMILL,K.P.R. Mill 
KRBL,KRBL 
KREBSBIO,Krebs Biochemicals and Industries 
KRIDHANINF,Kridhan Infra 
KRISHANA,Krishana Phoschem 
KRITI,Kriti Industries (India) 
KRITIKA,Kritika Wires 
KRITINUT,Kriti Nutrients 
KRSNAA,Krsnaa Diagnostics 
KSB,Ksb 
KSCL,Kaveri Seed Company 
KSHITIJPOL,Kshitij Polyline 
KSL,Kalyani Steels 
KSOLVES,Ksolves India 
KTKBANK,The Karnataka Bank 
KUANTUM,Kuantum Papers 
L&TFH,L&T Finance Holdings 
LAGNAM,Lagnam Spintex 
LAKPRE,Lakshmi Precision Screws 
LAL,Lorenzini Apparels 
LALPATHLAB,Dr. Lal Path Labs .
LAMBODHARA,Lambodhara Textiles 
LANDMARK,Landmark Cars 
LAOPALA,La Opala RG 
LASA,Lasa Supergenerics 
LATENTVIEW,Latent View Analytics 
LATTEYS,Latteys Industries 
LAURUSLABS,Laurus Labs 
LAXMICOT,Laxmi Cotspin 
LAXMIMACH,Lakshmi Machine Works 
LCCINFOTEC,LCC Infotech 
LEMONTREE,Lemon Tree Hotels 
LEXUS,Lexus Granito (India) 
LFIC,Lakshmi Finance & Industrial Corporation 
LGBBROSLTD,LG Balakrishnan & Bros 
LGBFORGE,LGB Forge 
LGHL,Laxmi Goldorna House 
LIBAS,Libas Consumer Products 
LIBERTSHOE,Liberty Shoes 
LICHSGFIN,LIC Housing Finance 
LICI,Life Insurance Corporation Of India
LIKHITHA,Likhitha Infrastructure 
LINC,Linc 
LINCOLN,Lincoln Pharmaceuticals 
LINDEINDIA,Linde India 
LLOYDSENGG,LLOYDS ENGINEERING WORKS 
LLOYDSME,Lloyds Metals And Energy 
LODHA,Macrotech Developers 
LOKESHMACH,Lokesh Machines 
LORDSCHLO,Lords Chloro Alkali 
LOTUSEYE,Lotus Eye Hospital and Institute 
LOVABLE,Lovable Lingerie 
LOYALTEX,Loyal Textile Mills 
LPDC,Landmark Property Development Company 
LT,Larsen & Toubro 
LTFOODS,LT Foods 
LTIM,LTIMindtree 
LTTS,L&T Technology Services 
LUMAXIND,Lumax Industries 
LUMAXTECH,Lumax Auto Technologies 
LUPIN,Lupin 
LUXIND,Lux Industries 
LXCHEM,Laxmi Organic Industries 
LYKALABS,Lyka Labs 
LYPSAGEMS,Lypsa Gems & Jewellery 
M&M,Mahindra & Mahindra 
M&MFIN,Mahindra & Mahindra Financial Services 
MAANALU,Maan Aluminium 
MACPOWER,Macpower CNC Machines 
MADHAV,Madhav Marbles and Granites 
MADHUCON,Madhucon Projects 
MADRASFERT,Madras Fertilizers 
MAGADSUGAR,Magadh Sugar & Energy 
MAGNUM,Magnum Ventures 
MAHABANK,Bank of Maharashtra
MAHAPEXLTD,Maha Rashtra Apex Corporation 
MAHASTEEL,Mahamaya Steel Industries 
MAHEPC,Mahindra EPC Irrigation 
MAHESHWARI,Maheshwari Logistics 
MAHLIFE,Mahindra Lifespace Developers 
MAHLOG,Mahindra Logistics 
MAHSCOOTER,Maharashtra Scooters 
MAHSEAMLES,Maharashtra Seamless 
MAITHANALL,Maithan Alloys 
MALLCOM,Mallcom (India) 
MALUPAPER,Malu Paper Mills 
MANAKALUCO,Manaksia Aluminium Company 
MANAKCOAT,Manaksia Coated Metals & Industries 
MANAKSIA,Manaksia 
MANAKSTEEL,Manaksia Steels 
MANALIPETC,Manali Petrochemicals 
MANAPPURAM,Manappuram Finance 
MANGALAM,Mangalam Drugs And Organics 
MANGCHEFER,Mangalore Chemicals & Fertilizers 
MANGLMCEM,Mangalam Cement 
MANINDS,Man Industries (India) 
MANINFRA,Man Infraconstruction 
MANKIND,Mankind Pharma 
MANOMAY,Manomay Tex India 
MANORAMA,Manorama Industries 
MANORG,Mangalam Organics 
MANUGRAPH,Manugraph India 
MANYAVAR,Vedant Fashions 
MAPMYINDIA,C.E. Info Systems 
MARALOVER,Maral Overseas 
MARATHON,Marathon Nextgen Realty 
MARICO,Marico 
MARINE,Marine Electricals (India) 
MARKSANS,Marksans Pharma 
MARSHALL,Marshall Machines 
MARUTI,Maruti Suzuki India 
MASFIN,MAS Financial Services 
MASTEK,Mastek 
MATRIMONY,Matrimony.Com 
MAWANASUG,Mawana Sugars 
MAXESTATES,Max Estates 
MAXHEALTH,Max Healthcare Institute 
MAXIND,Max India 
MAYURUNIQ,Mayur Uniquoters 
MAZDA,Mazda 
MAZDOCK,Mazagon Dock Shipbuilders 
MBAPL,Madhya Bharat Agro Products 
MBECL,Mcnally Bharat Engineering Company 
MBLINFRA,MBL Infrastructure 
MCDOWELL-N,United Spirits 
MCL,Madhav Copper 
MCLEODRUSS,Mcleod Russel India 
MCX,Multi Commodity Exchange of India 
MEDANTA,Global Health 
MEDIASSIST,Medi Assist Healthcare Services 
MEDICAMEQ,Medicamen Biotech 
MEDICO,Medico Remedies 
MEDPLUS,Medplus Health Services 
MEGASOFT,Megasoft 
MEGASTAR,Megastar Foods 
MELSTAR,Melstar Information Technologies 
MENONBE,Menon Bearings 
MEP,MEP Infrastructure Developers 
METALFORGE,Metalyst Forgings 
METROBRAND,Metro Brands 
METROPOLIS,Metropolis Healthcare 
MFSL,Max Financial Services 
MGEL,Mangalam Global Enterprise 
MGL,Mahanagar Gas 
MHLXMIRU,Mahalaxmi Rubtech 
MHRIL,Mahindra Holidays & Resorts India 
MICEL,MIC Electronics 
MIDHANI,Mishra Dhatu Nigam 
MINDACORP,Minda Corporation 
MINDTECK,Mindteck (India) 
MIRCELECTR,MIRC Electronics 
MIRZAINT,Mirza International 
MITCON,MITCON Consultancy & Engineering Services 
MITTAL,Mittal Life Style 
MKPL,M K Proteins 
MMFL,MM Forgings 
MMP,MMP Industries 
MMTC,MMTC 
MODIRUBBER,Modi Rubber 
MODISONLTD,MODISON 
MODTHREAD,Modern Threads (India) 
MOHITIND,Mohit Industries 
MOIL,MOIL 
MOKSH,Moksh Ornaments 
MOL,Meghmani Organics 
MOLDTECH,Mold-Tek Technologies 
MOLDTKPAC,Mold-Tek Packaging 
MONARCH,Monarch Networth Capital 
MONTECARLO,Monte Carlo Fashions 
MORARJEE,Morarjee Textiles 
MOREPENLAB,Morepen Laboratories 
MOTHERSON,Samvardhana Motherson International 
MOTILALOFS,Motilal Oswal Financial Services 
MOTISONS,Motisons Jewellers 
MOTOGENFIN,The Motor & General Finance 
MPHASIS,MphasiS 
MPSLTD,MPS 
MRF,MRF 
MRO-TEK,MRO-TEK Realty 
MRPL,Mangalore Refinery and Petrochemicals 
MSPL,MSP Steel & Power 
MSTCLTD,Mstc 
MSUMI,Motherson Sumi Wiring India 
MTARTECH,Mtar Technologies 
MTEDUCARE,MT Educare 
MTNL,Mahanagar Telephone Nigam 
MUFIN,Mufin Green Finance 
MUFTI,Credo Brands Marketing 
MUKANDLTD,Mukand 
MUKKA,Mukka Proteins 
MUKTAARTS,Mukta Arts 
MUNJALAU,Munjal Auto Industries 
MUNJALSHOW,Munjal Showa 
MURUDCERA,Murudeshwar Ceramics 
MUTHOOTCAP,Muthoot Capital Services 
MUTHOOTFIN,Muthoot Finance 
MUTHOOTMF,Muthoot Microfin 
MVGJL,Manoj Vaibhav Gems N Jewellers 
NACLIND,NACL Industries 
NAGAFERT,Nagarjuna Fertilizers and Chemicals 
NAGREEKCAP,Nagreeka Capital & Infrastructure 
NAGREEKEXP,Nagreeka Exports 
NAHARCAP,Nahar Capital and Financial Services 
NAHARINDUS,Nahar Industrial Enterprises 
NAHARPOLY,Nahar Poly Films 
NAHARSPING,Nahar Spinning Mills 
NAM-INDIA,Nippon Life India Asset Management 
NARMADA,Narmada Agrobase 
NATCOPHARM,Natco Pharma 
NATHBIOGEN,Nath Bio-Genes (India) 
NATIONALUM,National Aluminium Company 
NAUKRI,Info Edge (India) 
NAVA,NAVA 
NAVINFLUOR,Navin Fluorine International 
NAVKARCORP,Navkar Corporation 
NAVNETEDUL,Navneet Education 
NAZARA,Nazara Technologies 
NBCC,NBCC (India) 
NBIFIN,N. B. I. Industrial Finance Company 
NCC,NCC 
NCLIND,NCL Industries 
NDGL,Naga Dhunseri Group 
NDL,Nandan Denim 
NDLVENTURE,NDL Ventures 
NDRAUTO,Ndr Auto Components 
NDTV,New Delhi Television 
NECCLTD,North Eastern Carrying Corporation 
NECLIFE,Nectar Lifesciences 
NELCAST,Nelcast 
NELCO,NELCO 
NEOGEN,Neogen Chemicals 
NESCO,Nesco 
NESTLEIND,Nestle India 
NETWEB,Netweb Technologies India 
NETWORK18,Network18 Media & Investments 
NEULANDLAB,Neuland Laboratories 
NEWGEN,Newgen Software Technologies 
NEXTMEDIA,Next Mediaworks 
NFL,National Fertilizers 
NGIL,Nakoda Group of Industries 
NGLFINE,NGL Fine-Chem 
NH,Narayana Hrudayalaya .
NHPC,NHPC 
NIACL,The New India Assurance Company 
NIBL,NRB Industrial Bearings 
NIITLTD,NIIT 
NIITMTS,NIIT Learning Systems 
NILAINFRA,Nila Infrastructures 
NILASPACES,Nila Spaces 
NILKAMAL,Nilkamal 
NINSYS,NINtec Systems 
NIPPOBATRY,Indo-National 
NIRAJ,Niraj Cement Structurals 
NIRAJISPAT,Niraj Ispat Industries 
NITCO,Nitco 
NITINSPIN,Nitin Spinners 
NITIRAJ,Nitiraj Engineers 
NKIND,NK Industries 
NLCINDIA,NLC India 
NMDC,NMDC 
NOCIL,NOCIL 
NOIDATOLL,Noida Toll Bridge Company 
NORBTEAEXP,Norben Tea & Exports 
NOVAAGRI,Nova Agritech 
NRAIL,N R Agarwal Industries 
NRBBEARING,NRB Bearing 
NRL,Nupur Recyclers 
NSIL,Nalwa Sons Investments 
NSLNISP,NMDC Steel 
NTPC,NTPC 
NUCLEUS,Nucleus Software Exports 
NURECA,Nureca 
NUVAMA,Nuvama Wealth Management 
NUVOCO,Nuvoco Vistas Corporation 
NYKAA,FSN E-Commerce Ventures 
OAL,Oriental Aromatics 
OBCL,Orissa Bengal Carrier 
OBEROIRLTY,Oberoi Realty 
OCCL,Oriental Carbon & Chemicals 
OFSS,Oracle Financial Services Software 
OIL,Oil India 
OILCOUNTUB,Oil Country Tubular 
OLECTRA,Olectra Greentech 
OMAXAUTO,Omax Autos 
OMAXE,Omaxe 
OMINFRAL,OM INFRA 
OMKARCHEM,Omkar Speciality Chemicals 
ONELIFECAP,Onelife Capital Advisors 
ONEPOINT,One Point One Solutions 
ONGC,Oil & Natural Gas Corporation 
ONMOBILE,OnMobile Global 
ONWARDTEC,Onward Technologies 
OPTIEMUS,Optiemus Infracom 
ORBTEXP,Orbit Exports 
ORCHPHARMA,Orchid Pharma 
ORICONENT,Oricon Enterprises 
ORIENTALTL,Oriental Trimex 
ORIENTBELL,Orient Bell 
ORIENTCEM,Orient Cement 
ORIENTCER,ORIENT CERATECH 
ORIENTELEC,Orient Electric 
ORIENTHOT,Oriental Hotels 
ORIENTLTD,Orient Press 
ORIENTPPR,Orient Paper & Industries 
ORISSAMINE,The Orissa Minerals Development Company 
ORTINLAB,Ortin Laboratories 
OSIAHYPER,Osia Hyper Retail 
OSWALAGRO,Oswal Agro Mills 
OSWALGREEN,Oswal Greentech 
OSWALSEEDS,ShreeOswal Seeds And Chemicals 
PAGEIND,Page Industries 
PAISALO,Paisalo Digital 
PAKKA,PAKKA 
PALASHSECU,Palash Securities 
PALREDTEC,Palred Technologies 
PANACEABIO,Panacea Biotec 
PANACHE,Panache Digilife 
PANAMAPET,Panama Petrochem 
PANSARI,Pansari Developers 
PAR,Par Drugs And Chemicals 
PARACABLES,Paramount Communications 
PARADEEP,Paradeep Phosphates 
PARAGMILK,Parag Milk Foods 
PARAS,Paras Defence and Space Technologies 
PARASPETRO,Paras Petrofils 
PARKHOTELS,Apeejay Surrendra Park Hotels 
PARSVNATH,Parsvnath Developers 
PASUPTAC,Pasupati Acrylon 
PATANJALI,Patanjali Foods 
PATELENG,Patel Engineering 
PATINTLOG,Patel Integrated Logistics 
PAVNAIND,Pavna Industries 
PAYTM,One 97 Communications 
PCBL,PCBL 
PCJEWELLER,PC Jeweller 
PDMJEPAPER,Pudumjee Paper Products 
PDSL,PDS 
PEARLPOLY,Pearl Polymers 
