SYMBOL,NAME OF COMPANY
PEL,Piramal Enterprises 
PENIND,Pennar Industries 
PENINLAND,Peninsula Land 
PERSISTENT,Persistent Systems 
PETRONET,Petronet LNG 
PFC,Power Finance Corporation 
PFIZER,Pfizer 
PFOCUS,Prime Focus 
PFS,PTC India Financial Services 
PGEL,PG Electroplast 
PGHH,Procter & Gamble Hygiene and Health Care 
PGHL,Procter & Gamble Health 
PGIL,Pearl Global Industries 
PHOENIXLTD,The Phoenix Mills 
PIDILITIND,Pidilite Industries 
PIGL,Power & Instrumentation (Gujarat) 
PIIND,PI Industries 
PILANIINVS,Pilani Investment and Industries Corporation 
PILITA,PIL ITALICA LIFESTYLE 
PIONEEREMB,Pioneer Embroideries 
PITTIENG,Pitti Engineering 
PIXTRANS,Pix Transmissions 
PKTEA,The Peria Karamalai Tea & Produce Company 
PLASTIBLEN,Plastiblends India 
PLATIND,Platinum Industries 
PLAZACABLE,Plaza Wires 
PNB,Punjab National Bank
PNBGILTS,PNB Gilts 
PNBHOUSING,PNB Housing Finance 
PNC,Pritish Nandy Communications 
PNCINFRA,PNC Infratech 
POCL,Pondy Oxides & Chemicals 
PODDARHOUS,Poddar Housing and Development 
PODDARMENT,Poddar Pigments 
POKARNA,Pokarna 
POLICYBZR,PB Fintech 
POLYCAB,Polycab India 
POLYMED,Poly Medicure 
POLYPLEX,Polyplex Corporation 
PONNIERODE,Ponni Sugars (Erode) 
POONAWALLA,Poonawalla Fincorp 
POWERGRID,Power Grid Corporation of India 
POWERINDIA,Hitachi Energy India 
POWERMECH,Power Mech Projects 
PPAP,PPAP Automotive 
PPL,Prakash Pipes 
PPLPHARMA,Piramal Pharma 
PRAENG,Prajay Engineers Syndicate 
PRAJIND,Praj Industries 
PRAKASH,Prakash Industries 
PRAKASHSTL,Prakash Steelage 
PRAXIS,Praxis Home Retail 
PRECAM,Precision Camshafts 
PRECOT,Precot 
PRECWIRE,Precision Wires India 
PREMEXPLN,Premier Explosives 
PREMIER,Premier 
PREMIERPOL,Premier Polyfilm 
PRESTIGE,Prestige Estates Projects 
PRICOLLTD,Pricol 
PRIMESECU,Prime Securities 
PRINCEPIPE,Prince Pipes And Fittings 
PRITI,Priti International 
PRITIKAUTO,Pritika Auto Industries 
PRIVISCL,Privi Speciality Chemicals 
PROZONER,Prozone Realty 
PRSMJOHNSN,Prism Johnson 
PRUDENT,Prudent Corporate Advisory Services 
PRUDMOULI,Prudential Sugar Corporation 
PSB,Punjab & Sind Bank
PSPPROJECT,PSP Projects 
PTC,PTC India 
PTCIL,PTC Industries 
PTL,PTL Enterprises 
PUNJABCHEM,Punjab Chemicals & Crop Protection 
PURVA,Puravankara 
PVP,PVP Ventures 
PVRINOX,PVR INOX 
PYRAMID,Pyramid Technoplast 
QUESS,Quess Corp 
QUICKHEAL,Quick Heal Technologies 
RACE,Race Eco Chain 
RADHIKAJWE,Radhika Jeweltech 
RADIANTCMS,Radiant Cash Management Services 
RADICO,Radico Khaitan 
RADIOCITY,Music Broadcast 
RAILTEL,Railtel Corporation Of India 
RAIN,Rain Industries 
RAINBOW,Rainbow Childrens Medicare 
RAJESHEXPO,Rajesh Exports 
RAJMET,Rajnandini Metal 
RAJRATAN,Rajratan Global Wire 
RAJRILTD,Raj Rayon Industries 
RAJSREESUG,Rajshree Sugars & Chemicals 
RAJTV,Raj Television Network 
RALLIS,Rallis India 
RAMANEWS,Shree Rama Newsprint 
RAMAPHO,Rama Phosphates 
RAMASTEEL,Rama Steel Tubes 
RAMCOCEM,The Ramco Cements 
RAMCOIND,Ramco Industries 
RAMCOSYS,Ramco Systems 
RAMKY,Ramky Infrastructure 
RAMRAT,Ram Ratna Wires 
RANASUG,Rana Sugars 
RANEENGINE,Rane Engine Valve 
RANEHOLDIN,Rane Holdings 
RATEGAIN,Rategain Travel Technologies 
RATNAMANI,Ratnamani Metals & Tubes 
RATNAVEER,Ratnaveer Precision Engineering 
RAYMOND,Raymond 
RBA,Restaurant Brands Asia 
RBL,Rane Brake Lining 
RBLBANK,RBL Bank 
RBZJEWEL,RBZ Jewellers 
RCF,Rashtriya Chemicals and Fertilizers 
RECLTD,REC 
REDINGTON,Redington 
REDTAPE,Redtape 
REFEX,Refex Industries 
REGENCERAM,Regency Ceramics 
RELAXO,Relaxo Footwears 
RELCHEMQ,Reliance Chemotex Industries 
RELIANCE,Reliance Industries 
RELIGARE,Religare Enterprises 
RELINFRA,Reliance Infrastructure 
REMSONSIND,Remsons Industries 
RENUKA,Shree Renuka Sugars 
REPCOHOME,Repco Home Finance 
REPL,Rudrabhishek Enterprises 
REPRO,Repro India 
RESPONIND,Responsive Industries 
RGL,Renaissance Global 
RHFL,Reliance Home Finance 
RHIM,RHI MAGNESITA INDIA 
RHL,Robust Hotels 
RICOAUTO,Rico Auto Industries 
RIIL,Reliance Industrial Infrastructure 
RISHABH,Rishabh Instruments 
RITCO,Ritco Logistics 
RITES,RITES 
RKDL,Ravi Kumar Distilleries 
RKEC,RKEC Projects 
RKFORGE,Ramkrishna Forgings 
RML,Rane (Madras) 
ROHLTD,Royal Orchid Hotels 
ROLEXRINGS,Rolex Rings 
ROLLT,Rollatainers 
ROML,Raj Oil Mills 
ROSSARI,Rossari Biotech 
ROSSELLIND,Rossell India 
ROTO,Roto Pumps 
ROUTE,ROUTE MOBILE 
RPGLIFE,RPG Life Sciences 
RPOWER,Reliance Power 
RPPINFRA,R.P.P. Infra Projects 
RPPL,Rajshree Polypack 
RPSGVENT,RPSG VENTURES 
RPTECH,Rashi Peripherals 
RRKABEL,R R Kabel 
RSSOFTWARE,R. S. Software (India) 
RSWM,RSWM 
RSYSTEMS,R Systems International 
RTNINDIA,RattanIndia Enterprises 
RTNPOWER,RattanIndia Power 
RUBYMILLS,The Ruby Mills 
RUCHINFRA,Ruchi Infrastructure 
RUCHIRA,Ruchira Papers 
RUPA,Rupa & Company 
RUSHIL,Rushil Decor 
RUSTOMJEE,Keystone Realtors 
RVHL,Ravinder Heights 
RVNL,Rail Vikas Nigam 
S&SPOWER,S&S Power Switchgears 
SABEVENTS,Sab Events & Governance Now Media 
SADBHAV,Sadbhav Engineering 
SADBHIN,Sadbhav Infrastructure Project 
SADHNANIQ,Sadhana Nitrochem 
SAFARI,Safari Industries (India) 
SAGARDEEP,Sagardeep Alloys 
SAGCEM,Sagar Cements 
SAH,Sah Polymers 
SAHYADRI,Sahyadri Industries 
SAIL,Steel Authority of India 
SAKAR,Sakar Healthcare 
SAKHTISUG,Sakthi Sugars 
SAKSOFT,Saksoft 
SAKUMA,Sakuma Exports 
SALASAR,Salasar Techno Engineering 
SALONA,Salona Cotspin 
SALSTEEL,S.A.L. Steel 
SALZERELEC,Salzer Electronics 
SAMBHAAV,Sambhaav Media 
SAMHI,Samhi Hotels 
SAMPANN,Sampann Utpadan India 
SANCO,Sanco Industries 
SANDESH,The Sandesh 
SANDHAR,Sandhar Technologies 
SANDUMA,Sandur Manganese & Iron Ores 
SANGAMIND,Sangam (India) 
SANGHIIND,Sanghi Industries 
SANGHVIMOV,Sanghvi Movers 
SANGINITA,Sanginita Chemicals 
SANOFI,Sanofi India 
SANSERA,Sansera Engineering 
SAPPHIRE,Sapphire Foods India 
SARDAEN,Sarda Energy & Minerals 
SAREGAMA,Saregama India 
SARLAPOLY,Sarla Performance Fibers 
SARVESHWAR,Sarveshwar Foods 
SASKEN,Sasken Technologies 
SASTASUNDR,Sastasundar Ventures 
SATIA,Satia Industries 
SATIN,Satin Creditcare Network 
SATINDLTD,Sat Industries 
SAURASHCEM,Saurashtra Cement 
SBC,SBC Exports 
SBCL,Shivalik Bimetal Controls 
SBFC,SBFC Finance 
SBGLP,Suratwwala Business Group 
SBICARD,SBI Cards and Payment Services 
SBILIFE,SBI Life Insurance Company 
SBIN,State Bank of India
SCHAEFFLER,Schaeffler India 
SCHAND,S Chand And Company 
SCHNEIDER,Schneider Electric Infrastructure 
SCI,Shipping Corporation Of India 
SCPL,Sheetal Cool Products 
SDBL,Som Distilleries & Breweries 
SEAMECLTD,Seamec 
SECMARK,SecMark Consultancy 
SECURCRED,SecUR Credentials 
SECURKLOUD,SECUREKLOUD TECHNOLOGIES 
SEJALLTD,Sejal Glass 
SELAN,Selan Exploration Technology 
SELMC,SEL Manufacturing Company 
SEMAC,SEMAC CONSULTANTS 
SENCO,Senco Gold 
SEPC,SEPC 
SEQUENT,Sequent Scientific 
SERVOTECH,Servotech Power Systems 
SESHAPAPER,Seshasayee Paper and Boards 
SETCO,Setco Automotive 
SEYAIND,Seya Industries 
SFL,Sheela Foam 
SGIL,Synergy Green Industries 
SGL,STL Global 
SHAH,Shah Metacorp 
SHAHALLOYS,Shah Alloys 
SHAILY,Shaily Engineering Plastics 
SHAKTIPUMP,Shakti Pumps (India) 
SHALBY,Shalby 
SHALPAINTS,Shalimar Paints 
SHANKARA,Shankara Building Products 
SHANTI,Shanti Overseas (India) 
SHANTIGEAR,Shanthi Gears 
SHARDACROP,Sharda Cropchem 
SHARDAMOTR,Sharda Motor Industries 
SHAREINDIA,Share India Securities 
SHEMAROO,Shemaroo Entertainment 
SHILPAMED,Shilpa Medicare 
SHIVALIK,Shivalik Rasayan 
SHIVAMAUTO,Shivam Autotech 
SHIVAMILLS,Shiva Mills 
SHIVATEX,Shiva Texyarn 
SHK,S H Kelkar and Company 
SHOPERSTOP,Shoppers Stop 
SHRADHA,Shradha Infraprojects 
SHREDIGCEM,Shree Digvijay Cement Co.
SHREECEM,SHREE CEMENT 
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers 
SHREERAMA,Shree Rama Multi-Tech 
SHRENIK,Shrenik 
SHREYANIND,Shreyans Industries 
SHREYAS,Shreyas Shipping & Logistics 
SHRIPISTON,Shriram Pistons & Rings 
SHRIRAMFIN,Shriram Finance 
SHRIRAMPPS,Shriram Properties 
SHYAMCENT,Shyam Century Ferrous 
SHYAMMETL,Shyam Metalics and Energy 
SHYAMTEL,Shyam Telecom 
SICALLOG,Sical Logistics 
SIEMENS,Siemens 
SIGACHI,Sigachi Industries 
SIGIND,Signet Industries 
SIGMA,Sigma Solve 
SIGNATURE,Signatureglobal (India) 
SIGNPOST,Signpost India 
SIKKO,Sikko Industries 
SIL,Standard Industries 
SILGO,Silgo Retail 
SILGO-RE,Silgo Retail -RE
SILINV,SIL Investments 
SILLYMONKS,Silly Monks Entertainment 
SILVERTUC,Silver Touch Technologies 
SIMBHALS,Simbhaoli Sugars 
SIMPLEXINF,Simplex Infrastructures 
SINDHUTRAD,Sindhu Trade Links 
SINTERCOM,Sintercom India 
SIRCA,Sirca Paints India 
SIS,SIS 
SITINET,Siti Networks 
SIYSIL,Siyaram Silk Mills 
SJS,S.J.S. Enterprises 
SJVN,SJVN 
SKFINDIA,SKF India 
SKIPPER,Skipper 
SKMEGGPROD,SKM Egg Products Export (India) 
SKYGOLD,Sky Gold 
SMARTLINK,Smartlink Holdings 
SMCGLOBAL,SMC Global Securities 
SMLISUZU,SML Isuzu 
SMLT,Sarthak Metals 
SMSLIFE,SMS Lifesciences India 
SMSPHARMA,SMS Pharmaceuticals 
SNOWMAN,Snowman Logistics 
SOBHA,Sobha 
SOFTTECH,Softtech Engineers 
SOLARA,Solara Active Pharma Sciences 
SOLARINDS,Solar Industries India 
SOMANYCERA,Somany Ceramics 
SOMATEX,Soma Textiles & Industries 
SOMICONVEY,Somi Conveyor Beltings 
SONACOMS,Sona BLW Precision Forgings 
SONAMLTD,SONAM 
SONATSOFTW,Sonata Software 
SOTL,Savita Oil Technologies 
SOUTH-RE,South Indian Bank -RE
SOUTHBANK,The South Indian Bank 
SOUTHWEST,South West Pinnacle Exploration 
SPAL,S. P. Apparels 
SPANDANA,Spandana Sphoorty Financial 
SPARC,Sun Pharma Advanced Research Company 
SPCENET,Spacenet Enterprises India 
SPECIALITY,Speciality Restaurants 
SPENCERS,Spencer's Retail 
SPIC,Southern Petrochemicals Industries Corporation  
SPLIL,SPL Industries 
SPLPETRO,Supreme Petrochem 
SPMLINFRA,SPML Infra 
SPORTKING,Sportking India 
SPTL,Sintex Plastics Technology 
SPYL,Shekhawati Poly-Yarn 
SREEL,Sreeleathers 
SRF,SRF 
SRGHFL,SRG Housing Finance 
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo 
SRPL,Shree Ram Proteins 
SSWL,Steel Strips Wheels 
STAR,Strides Pharma Science 
STARCEMENT,Star Cement 
STARHEALTH,Star Health and Allied Insurance Company 
STARPAPER,Star Paper Mills 
STARTECK,Starteck Finance 
STCINDIA,The State Trading Corporation of India 
STEELCAS,Steelcast 
STEELCITY,Steel City Securities 
STEELXIND,STEEL EXCHANGE INDIA 
STEL,Stel Holdings 
STERTOOLS,Sterling Tools 
STLTECH,Sterlite Technologies 
STOVEKRAFT,Stove Kraft 
STYLAMIND,Stylam Industries 
STYRENIX,Styrenix Performance Materials 
SUBEXLTD,Subex 
SUBROS,Subros 
SUDARSCHEM,Sudarshan Chemical Industries 
SUKHJITS,Sukhjit Starch & Chemicals 
SULA,Sula Vineyards 
SUMEETINDS,Sumeet Industries 
SUMICHEM,Sumitomo Chemical India 
SUMIT,Sumit Woods 
SUMMITSEC,Summit Securities 
SUNCLAY,Sundaram Clayton 
SUNDARAM,Sundaram Multi Pap 
SUNDARMFIN,Sundaram Finance 
SUNDARMHLD,Sundaram Finance Holdings 
SUNDRMBRAK,Sundaram Brake Linings 
SUNDRMFAST,Sundram Fasteners 
SUNFLAG,Sunflag Iron And Steel Company 
SUNPHARMA,Sun Pharmaceutical Industries 
SUNTECK,Sunteck Realty 
SUNTV,Sun TV Network 
SUPERHOUSE,Superhouse 
SUPERSPIN,Super Spinning Mills 
SUPRAJIT,Suprajit Engineering 
SUPREMEIND,Supreme Industries 
SUPREMEINF,Supreme Infrastructure India 
SUPRIYA,Supriya Lifescience 
SURAJEST,Suraj Estate Developers 
SURANASOL,Surana Solar 
SURANAT&P,Surana Telecom and Power 
SURYALAXMI,Suryalakshmi Cotton Mills 
SURYAROSNI,Surya Roshni 
SURYODAY,Suryoday Small Finance Bank 
SUTLEJTEX,Sutlej Textiles and Industries 
SUULD,Suumaya Industries 
SUVEN,Suven Life Sciences 
SUVENPHAR,Suven Pharmaceuticals 
SUVIDHAA,Suvidhaa Infoserve 
SUZLON,Suzlon Energy 
SVLL,Shree Vasu Logistics 
SVPGLOB,SVP GLOBAL TEXTILES 
SWANENERGY,Swan Energy 
SWARAJENG,Swaraj Engines 
SWELECTES,Swelect Energy Systems 
SWSOLAR,Sterling and Wilson Renewable Energy 
SYMPHONY,Symphony 
SYNCOMF,Syncom Formulations (India) 
SYNGENE,Syngene International 
SYRMA,Syrma SGS Technology 
TAINWALCHM,Tainwala Chemical and Plastic (I) 
TAJGVK,Taj GVK Hotels & Resorts 
TAKE,Take Solutions 
TALBROAUTO,Talbros Automotive Components 
TANLA,Tanla Platforms 
TARAPUR,Tarapur Transformers 
TARC,Anant Raj Global 
TARMAT,Tarmat 
TARSONS,Tarsons Products 
TASTYBITE,Tasty Bite Eatables 
TATACHEM,Tata Chemicals 
TATACOMM,Tata Communications 
TATACONSUM,TATA CONSUMER PRODUCTS 
TATAELXSI,Tata Elxsi 
TATAINVEST,Tata Investment Corporation 
TATAMOTORS,Tata Motors 
TATAMTRDVR,Tata Motors 
TATAPOWER,Tata Power Company 
TATASTEEL,Tata Steel 
TATATECH,Tata Technologies 
TATVA,Tatva Chintan Pharma Chem 
TBZ,Tribhovandas Bhimji Zaveri 
TCI,Transport Corporation of India 
TCIEXP,TCI Express 
TCLCONS,Tantia Constructions 
TCNSBRANDS,TCNS Clothing Co. 
TCPLPACK,TCPL Packaging 
TCS,Tata Consultancy Services 
TDPOWERSYS,TD Power Systems 
TEAMLEASE,Teamlease Services 
TECHIN,Techindia Nirman 
TECHM,Tech Mahindra 
TECHNOE,Techno Electric & Engineering Company 
TECILCHEM,TECIL Chemicals and Hydro Power 
TEGA,Tega Industries 
TEJASNET,Tejas Networks 
TEMBO,Tembo Global Industries 
TERASOFT,Tera Software 
TEXINFRA,Texmaco Infrastructure & Holdings 
TEXMOPIPES,Texmo Pipes and Products 
TEXRAIL,Texmaco Rail & Engineering 
TFCILTD,Tourism Finance Corporation of India 
TFL,Transwarranty Finance 
TGBHOTELS,TGB Banquets And Hotels 
THANGAMAYL,Thangamayil Jewellery 
THEINVEST,The Investment Trust Of India 
THEJO,Thejo Engineering 
THEMISMED,Themis Medicare 
THERMAX,Thermax 
THOMASCOOK,Thomas Cook  (India)  
THOMASCOTT,Thomas Scott (India) 
THYROCARE,Thyrocare Technologies 
TI,Tilaknagar Industries 
TIDEWATER,Tide Water Oil Company (India) 
TIIL,Technocraft Industries (India) 
TIINDIA,Tube Investments of India 
TIJARIA,Tijaria Polypipes 
TIL,TIL 
TIMESGTY,Times Guaranty 
TIMETECHNO,Time Technoplast 
TIMKEN,Timken India 
TIPSFILMS,Tips Films 
TIPSINDLTD,TIPS Industries 
TIRUMALCHM,Thirumalai Chemicals 
TIRUPATIFL,Tirupati Forge 
TITAGARH,TITAGARH RAIL SYSTEMS 
TITAN,Titan Company 
TMB,Tamilnad Mercantile Bank 
TNPETRO,Tamilnadu PetroProducts 
TNPL,Tamil Nadu Newsprint & Papers 
TNTELE,Tamilnadu Telecommunication 
TOKYOPLAST,Tokyo Plast International 
TORNTPHARM,Torrent Pharmaceuticals 
TORNTPOWER,Torrent Power 
TOTAL,Total Transport Systems 
TOUCHWOOD,Touchwood Entertainment 
TPHQ,Teamo Productions HQ 
TPLPLASTEH,TPL Plastech 
TRACXN,Tracxn Technologies 
TREEHOUSE,Tree House Education & Accessories 
TREJHARA,TREJHARA SOLUTIONS 
TREL,Transindia Real Estate 
TRENT,Trent 
TRF,TRF 
TRIDENT,Trident 
TRIGYN,Trigyn Technologies 
TRIL,Transformers And Rectifiers (India) 
TRITURBINE,Triveni Turbine 
TRIVENI,Triveni Engineering & Industries 
TRU,TruCap Finance 
TTKHLTCARE,TTK Healthcare 
TTKPRESTIG,TTK Prestige 
TTL,T T 
TTML,Tata Teleservices (Maharashtra) 
TV18BRDCST,TV18 Broadcast 
TVSELECT,TVS Electronics 
TVSHLTD,TVS Holdings 
TVSMOTOR,TVS Motor Company 
TVSSCS,TVS Supply Chain Solutions 
TVSSRICHAK,TVS Srichakra 
TVTODAY,TV Today Network 
TVVISION,TV Vision 
UBL,United Breweries 
UCAL,UCAL 
UCOBANK,UCO Bank
UDS,Updater Services 
UFLEX,UFLEX 
UFO,UFO Moviez India 
UGARSUGAR,The Ugar Sugar Works 
UGROCAP,Ugro Capital 
UJJIVAN,Ujjivan Financial Services 
UJJIVANSFB,Ujjivan Small Finance Bank 
ULTRACEMCO,UltraTech Cement 
UMAEXPORTS,Uma Exports 
UMANGDAIRY,Umang Dairies 
UMESLTD,Usha Martin Education & Solutions 
UNICHEMLAB,Unichem Laboratories 
UNIDT,United Drilling Tools 
UNIENTER,Uniphos Enterprises 
UNIINFO,Uniinfo Telecom Services 
UNIONBANK,Union Bank of India
UNIPARTS,Uniparts India 
UNITECH,Unitech 
UNITEDPOLY,United Polyfab Gujarat 
UNITEDTEA,The United Nilgiri Tea Estates Company 
UNIVASTU,Univastu India 
UNIVCABLES,Universal Cables 
UNIVPHOTO,Universus Photo Imagings 
UNOMINDA,UNO Minda 
UPL,UPL 
URAVI,Uravi T and Wedge Lamps 
URJA,Urja Global 
USHAMART,Usha Martin 
USK,Udayshivakumar Infra 
UTIAMC,UTI Asset Management Company 
UTKARSHBNK,Utkarsh Small Finance Bank 
UTTAMSUGAR,Uttam Sugar Mills 
V2RETAIL,V2 Retail 
VADILALIND,Vadilal Industries 
VAIBHAVGBL,Vaibhav Global 
VAISHALI,Vaishali Pharma 
VAKRANGEE,Vakrangee 
VALIANTLAB,Valiant Laboratories 
VALIANTORG,Valiant Organics 
VARDHACRLC,Vardhman Acrylics 
VARDMNPOLY,Vardhman Polytex 
VARROC,Varroc Engineering 
VASCONEQ,Vascon Engineers 
VASWANI,Vaswani Industries 
VBL,Varun Beverages 
VCL,Vaxtex Cotfab 
VEDL,Vedanta 
VENKEYS,Venky's (India) 
VENUSPIPES,Venus Pipes & Tubes 
VENUSREM,Venus Remedies 
VERANDA,Veranda Learning Solutions 
VERTOZ,Vertoz Advertising 
VESUVIUS,Vesuvius India 
VETO,Veto Switchgears And Cables 
VGUARD,V-Guard Industries 
VHL,Vardhman Holdings 
VIDHIING,Vidhi Specialty Food Ingredients 
VIJAYA,Vijaya Diagnostic Centre 
VIJIFIN,Viji Finance 
VIKASECO,Vikas EcoTech 
VIKASLIFE,Vikas Lifecare 
VIMTALABS,Vimta Labs 
VINATIORGA,Vinati Organics 
VINDHYATEL,Vindhya Telelinks 
VINEETLAB,Vineet Laboratories 
VINNY,Vinny Overseas 
VINYLINDIA,Vinyl Chemicals (India) 
VIPCLOTHNG,VIP Clothing 
VIPIND,VIP Industries 
VIPULLTD,Vipul 
VIRINCHI,Virinchi 
VISAKAIND,Visaka Industries 
VISESHINFO,Visesh Infotecnics 
VISHNU,Vishnu Chemicals 
VISHWARAJ,Vishwaraj Sugar Industries 
VIVIDHA,Visagar Polytex 
VLEGOV,VL E-Governance & IT Solutions 
VLSFINANCE,VLS Finance 
VMART,V-Mart Retail 
VOLTAMP,Voltamp Transformers 
VOLTAS,Voltas 
VPRPL,Vishnu Prakash R Punglia 
VRLLOG,VRL Logistics 
VSSL,Vardhman Special Steels 
VSTIND,VST Industries 
VSTL,Vibhor Steel Tubes 
VSTTILLERS,V.S.T Tillers Tractors 
VTL,Vardhman Textiles 
WABAG,VA Tech Wabag 
WALCHANNAG,Walchandnagar Industries 
WANBURY,Wanbury 
WEALTH,Wealth First Portfolio Managers 
WEBELSOLAR,Websol Energy System 
WEIZMANIND,Weizmann 
WEL,Wonder Electricals 
WELCORP,Welspun Corp 
WELENT,Welspun Enterprises 
WELINV,Welspun Investments and Commercials 
WELSPUNLIV,Welspun Living 
WENDT,Wendt (India) 
WESTLIFE,WESTLIFE FOODWORLD 
WEWIN,WE WIN 
WHEELS,Wheels India 
WHIRLPOOL,Whirlpool of India 
WILLAMAGOR,Williamson Magor & Company 
WINDLAS,Windlas Biotech 
WINDMACHIN,Windsor Machines 
WINSOME,Winsome Yarns 
WIPL,The Western India Plywoods 
WIPRO,Wipro 
WOCKPHARMA,Wockhardt 
WONDERLA,Wonderla Holidays 
WORTH,Worth Peripherals 
WSI,W S Industries (I) 
WSTCSTPAPR,West Coast Paper Mills 
XCHANGING,Xchanging Solutions 
XELPMOC,Xelpmoc Design And Tech 
XPROINDIA,Xpro India 
YAARI,Yaari Digital Integrated Services 
YASHO,Yasho Industries 
YATHARTH,Yatharth Hospital & Trauma Care Services 
YATRA,Yatra Online 
YESBANK,Yes Bank 
YUKEN,Yuken India 
ZAGGLE,Zaggle Prepaid Ocean Services 
ZEEL,Zee Entertainment Enterprises 
ZEELEARN,Zee Learn 
ZEEMEDIA,Zee Media Corporation 
ZENITHEXPO,Zenith Exports 
ZENITHSTL,Zenith Steel Pipes & Industries 
ZENSARTECH,Zensar Technologies 
ZENTEC,Zen Technologies 
ZFCVINDIA,ZF Commercial Vehicle Control Systems India 
ZIMLAB,Zim Laboratories 
ZODIAC,Zodiac Energy 
ZODIACLOTH,Zodiac Clothing Company 
ZOMATO,Zomato 
ZOTA,Zota Health Care 
ZUARI,Zuari Agro Chemicals 
ZUARIIND,ZUARI INDUSTRIES 
ZYDUSLIFE,Zydus Lifesciences 
ZYDUSWELL,Zydus Wellness 
